#1,  Buffy, Closet Monster, 2015, Buffy 4,
$,  Claw," ""OnCreativity""", 2012, Himself, 
$,  Homo, Nykytaiteen museo, 1986, Himself, 


, 	, NVTION: The Star Nation Rapumentary, 2017, Himself, )  (as $hutter Boy
, 	, Steve Jobs, 2015, 1988 Opera House Patron, )  (uncredited

, 	, For Thy Love 2, 2009, Thug 1, 
, 	," ""Idle Talk""", 2013, Himself, )  (as Brandon Moore
, 	," ""Idle Times""", 2012, Detective Ryan Turner, ) {(#1.2)}  (as Brandon Moore
, 	," ""Idle Times""", 2012, Detective Ryan Turner, ) {(#1.4)}  (as Brandon Moore
, 	," ""Money Power & Respect: The Series""", 2010, Bee Moe Slim, ) {Bottom Dollar (#2.7
, 	," ""Red River""", 2015, Victor Charles, 

, 	," ""From Tha Bottom 2 Tha Top""", 2016, Yung $ly, 


, 	, Michel Tel�: Sunset, 2013, Themselves, ) (V
, 	," ""Programa da Sabrina""", 2014, Themselves, ) {(2016-01-23
& Dollar Furado,  Caio Corsalette," ""Som Brasil""", 2007, Themselves, ) {Zez� di Camargo & Luciano (#5.7
& Fabiano,  C�sar Menotti, Nascemos para Cantar, 2010, Themselves, ) (TV
, 	, Teleton 2010, 2010, Themselves, ) (TV
, 	," ""Altas Horas""", 2000, Themselves, ) {(2013-12-14
, 	," ""Esquenta!""", 2011, Themselves, ) {(#5.1
, 	," ""Tamanho Fam�lia""", 2016, Themselves, ) {(#2.9
, 	," ""TV Xuxa""", 2005, Themselves, ) {(2013-01-05
& Grand Piano Boogie Train,  Jaap Dekker," ""Barend en Van Dorp""", 1990, Themselves - Musicians, ) {(2003-03-17
& Ralph,  Christian," ""Roberto Carlos Especial""", 1974, Himself, ) {(1986-12-30
& The Oriental Groove,  Yacine," ""Els matins a TV3""", 2004, Themselves, ) {(#8.192
& Vin�cius,  Jo�o Bosco, Show da Virada, 2011, Themselves - Performers, ) (TV
, 	, Teleton 2012, 2012, Themselves, ) (TV
, 	," ""M�sica Boa Ao Vivo""", 2014, Themselves, 
Adolphus,  Chris, Virtues of Habit, ????, Himself, 
Jurado Jr.,  Jori, Lapis, Ballpen at Diploma, a True to Life Journey, 2014, Jaime (young), 
Rubio,  Humberto, 24� 51' Latitud Norte, 2015, Lobo, 




, 	, Zombie Reign: Revelation, 2016, Mason McDermott, 
'Ariffin,  Syaiful, Desire, 2014, Actor Playing Eteocles from 'Antigone', /III
, 'Aruhane, Shaping Bamboo, 1979, Himself - 'au paina panpipe ensemble, 
'Atu'ake,  Taipaleti, When the Man Went South, 2014, Two Palms - Ua'i Paame, 
Wolfe,  David, The Gift, 2010, Himself, /I
Shearer,  Zamien," ""Exit""", 2014, Power, 

, 	, Mixing Nia, 1998, Rapper, 
, 	, W8 (Weight), 2012, Man In Car, 
, 	," ""Swift Justice""", 1996, Young Leo, ) {Where Were You in '72? (#1.5


, 	, Gook, 2017, Bliss, 
Brown,  Steve, Bait Shop, 2008, Fishing Competitor, ) (V
Thomas,  George, My Song for You, 2010, Cooley's Customer/Celebration Guest, 
Torres,  Pete, Hustle Beach, 2017, Tony, 
Neto,  Alderico, Babado Novo: Ver-te Mar, 2007, Himself - Drums, ) (V)  (as Buguelo
, 	, Claudia Leitte: Axemusic - Ao Vivo, 2014, Himself - Claudia Leitte Band: Drums, ) (V)  (as Buguelo
, 	, Roupa Ac�stico 2, 2006, Himself, ) (V
, 	," ""Caldeir�o do Huck""", 2000, Himself - Musician, ) {(2013-06-29)}  (as Buguelo
Ammons,  Bill, Welcome to Slab City, 2012, Himself, 
Sese,  Joseph, Mariano Mison... NBI, 1997, Putik's Son, 
Ferrer,  Carlos, La huella del doctor Ernesto Guevara, 2013, Himself, 
Pena,  Ramon, Natas es Satan, 1977, Nigth Club Owner, 
Felix,  Santiago, Shadow Girl, 2016, Himself, blind street vendor, 
'Cherry,  Sahel, The Emancipation of Anemone, ????, Chorus, 
,  Eloy, �Ja me maaten...!, 2000, Gitano 1, 
Wilson,  Chris, Out of Bounds, 2012, Himself, 
Estes,  Marquis," ""Moesha""", 1996, Rapper #2, ) {The List (#2.1
'Colibri'Viera,  Gil, Todo x Sara, 2014, Llavero, 
Lenton,  Mark," ""Formula 1: BBC Sport""", 2009, Himself - Mechanic, Red Bull, ) {The Chinese Grand Prix (#3.8
,  Luis, Ambos mundos, 2007, , 
Leach,  Timothy," ""Port Protection""", 2015, Himself, ) {Between Water and Wolves (#1.1
, 	," ""Port Protection""", 2015, , 
, 	," ""Port Protection""", 2015, Himself, ) {Jack of All Trades (#2.7
, 	," ""Port Protection""", 2015, Himself, ) {Out of Luck (#1.3
, 	," ""Port Protection""", 2015, Himself, ) {Shell-Shocked (#2.8
, 	," ""Port Protection""", 2015, Himself, ) {The End of the End (#2.11
, 	," ""Port Protection""", 2015, Himself, ) {The Odyssey (#2.5


, 	, Crime School, 1938, , 
, 	, Land of Liberty, 1939, , 
, 	," ""Film Breaks""", 1999, , 
Torres,  Marcelino, Barrio Gangsters, 2009, Dibujo, 
Clemson,  Donnie, Cornmeal, Gunpowder, Ham Hocks and Guitar Strings, 2015, Jeb Kinney, 
Laschinger,  Roland, B Flat - or how to miss a blue note, 2013, Doc Knotz, 
Johnson,  Dondraico, The LXD: The Secrets of the Ra, 2011, Umbra, 
Gerestant,  Mildred," ""Dishing Tea with Big Meach""", 2009, , 
'Duarte,  Eduardo," ""El mundo del espect�culo""", 1968, , 
Whitney Jr.,  Barry," ""This Old House""", 1979, Himself - Frame Shop Materials Processor, ) {North Shore Farmhouse: The North Shore Is a Blast (#35.18
Eldemire,  Edward, German Town: The Lost Story of Seaford Town Jamaica, 2015, Himself, 
Bernstein,  Musikverein, 90 Jahre Burgenland, 2011, Themselves, ) (TV
Van Rankin,  Jorge, Seraf�n: La pel�cula, 2001, Pom�n, )  (voice) (as Jorge Van Rankin
, 	," ""40 y 20""", 2016, Paco, ) {A Visita Do Brasil (#1.9)}  (as Jorge Van Rankin
, 	," ""40 y 20""", 2016, Paco, ) {El pan franc�s (#1.4)}  (as Jorge Van Rankin
, 	," ""40 y 20""", 2016, Paco, ) {Las clases de regularizaci�n (#1.3
, 	," ""40 y 20""", 2016, Paco, ) {No Hace Falta (#1.8)}  (as Jorge Van Rankin
, 	," ""40 y 20""", 2016, Paco, ) {Un Rudo Amanecer (#1.7)}  (as Jorge Van Rankin
, 	," ""Big Brother VIP 3""", 2004, Himself, ) {(2004-06-27)}  (as Jorge Van Rankin
, 	," ""Big Brother VIP 3""", 2004, Himself, ) {(2004-07-04)}  (as Jorge Van Rankin
, 	," ""Carita de �ngel""", 2000, Tadeo, ) {Carita de �ngel (#1.1)}  (as Jorge Van Rankin
, 	," ""El Calabozo"" (1993)  (as Jorge Van Rankin)  [Himself - Host", 1993, , 
, 	," ""Hasta adentro""", 2006, Himself - Host, )  (as Jorge Van Rankin
, 	," ""Hoy""", 1998, Himself - Host, ) {(2016-06-23)}  (as Jorge Van Rankin
, 	," ""Inocente de ti""", 2004, Pepe To�o, ) {(#1.2)}  (as Jorge Van Rankin
, 	," ""Inocente de ti""", 2004, Pepe To�o, ) {Inocente de ti (#1.1)}  (as Jorge Van Rankin
, 	," ""La jaula""", 2003, El Burro, /II) {Los Big Tacos}  (as Jorge Van Rankin
, 	," ""La mujer del Vendaval""", 2012, , 
, 	," ""La mujer del Vendaval""", 2012, , 
