$ign, Ty Dolla," 	""Akil the Fugitive Hunter"" ", 2017, (executive producer) (as Ty Dolla Sign)
'Abd Al-Hamid, Ja'far, Badgeless sur la Croisette , 2012, }  (producer)
, , 		Mesocafe , 2009, }  (producer)




, , 		Makhno Beer , 2010, (co-producer)
'Fox, Zhavier' (II), They Want Dick Dickster , 2015, (executive producer)
'Hass' Nunes, Harvey, Edge of the Pier , 2016, (executive producer)
'Knoccout'Madison, Karriem," ""Sangre Negra"" ", 2016, (executive producer) (as Kareim 'Knoccout'Madison)
, ," 		""Sangre Negra"" ", 2016, (executive producer) (as Kareim 'Knoccout'Madison)
, ," 		""Sangre Negra"" ", 2016, (executive producer) (as Kareim 'Knoccout'Madison)
, ," 		""Sangre Negra"" ", 2016, (executive producer) (as Kareim 'Knoccout'Madison)
, ," 		""Sangre Negra"" ", 2016, (executive producer) (as Kareim 'Knoccout'Madison)
, ," 		""Sangre Negra"" ", 2016, (executive producer) (as Kareim 'Knoccout'Madison)
'Kusare, Mak (I), Comrade , 2008, (producer)
'Kusare, Mak (II), A Play Called a Temple Made of Clay , 2014, (executive producer)



, , 		I Felon Love , 2016, (producer)
, ," 		""Grey"" ", 2014, (executive producer)
, ," 		""Grey"" ", 2014, (executive producer)
, ," 		""Grey"" ", 2014, (executive producer)
, ," 		""No 1"" ", 2016, (executive producer)
, ," 		""No 1"" ", 2016, (executive producer)
, ," 		""No 1"" ", 2016, (executive producer)
, ," 		""No 1"" ", 2016, (executive producer)
, ," 		""No 1"" ", 2016, (executive producer)
, ," 		""No 1"" ", 2016, (executive producer)
'Monty' Montgomery, Christopher, Don't Sell My Guitars , 2017, (producer)
'Noble Julz'Hamilton, Ulia, Church Hurt , ????, (producer)
, , 		Shattered Serenity , 2012, (executive producer) (as Noble Julz Hamilton)
'Spillway' Baxter, Robert, Shining Spirit , 2017, (co-executive producer)
'steady'Boyd, Paul," ""The Lyrics of Life"" ", 2013, (associate producer)
't Hart, Martijn, The Brooklyn Connection , 2005, (producer)
't Joen, L�on, 	Jack l'�ventreur , 1971, (producer)
't Sant, Eline, 	Both... But Maybe Sunset , 2006, (producer)
'The Griz' Ritz, Mike, Paloma's Flight , 2018, (TV)  (producer) (as Mike Ritz)
'Trentula' Davis, Trent, Call of the Jedi: A Star Wars Story , 2017, (producer)
'Twinkie' Bird, Tracy, A Beautiful Soul , 2012, (associate producer) (as Twinkie Byrd)
, , 		Smokd , 2016, (producer)
(II), Trent, 	Sjaaks Wife Died, So He Needs to Say Something , 2017, (producer)
-, Busabuntu, 	iZulu , 2014, (producer)
-, Central Europea de Guiones, Maldito lunes , 2013, (producer)
-, Edifilms, 	Notas De Un Inmigrante , 2010, (producer)
-, Naomi (II), 	Ikitekoso , 2013, (producer)
-, Terri Lynn Farrow," ""Passion for Living"" ", 2011, (associate producer)
--, An�nimo, 	X �rase una vez , 2015, (executive producer)







, , 		Think Positive , 2016, (executive producer)
., Chirag (II), 	Conscious Awakening A Silent War , 2015, (producer)
, , 		Ouch Casting Couch , 2016, (executive producer)
., Crobin, 	Alan Smithee , 2012, (executive producer)
, , 		Jobbuilder: Clown Show , 2014, (executive producer)
., Ifeelms, 	Christmas Break , 2017, (executive producer)
., Jesus, 	Dragoon , 2013, (executive producer)
., Saguenail, 	A Menina Dos Olhos , 2012, (producer)
., Wooloo, 	Ikast-Brande Spiritual Council , 2013, (executive producer)
., Zeyn, 		How much dose it cost you to look fine? , 2017, (producer)
.Guti�rrez, Carlos, Los esp�ritus de Madero , 2010, (producer)
.Harris, Jonathan R., Signposts , 2016, }  (consulting producer)



, ," 		""Access Granted"" ", 2000, (producer)
, ," 		""Access Granted"" ", 2000, (producer)
, ," 		""Access Granted"" ", 2000, (producer)
, ," 		""Access Granted"" ", 2000, (producer)
, ," 		""Access Granted"" ", 2000, (producer)
, ," 		""Access Granted"" ", 2000, (producer)
, ," 		""Access Granted"" ", 2000, (producer)
, ," 		""Access Granted"" ", 2000, (producer)
, ," 		""Access Granted"" ", 2000, (producer)
, ," 		""Access Granted"" ", 2000, (producer)
, ," 		""Access Granted"" ", 2000, (producer)
, ," 		""Access Granted"" ", 2000, (producer)
, ," 		""Fade to Black"" ", 1991, (producer)
, ," 		""Interscope Presents 'The Next Episode'"" ", 2003, (coordinating producer)
, ," 		""Interscope Presents 'The Next Episode'"" ", 2003, (coordinating producer)
, ," 		""Rap City"" ", 2000, (producer)
, ," 		""Yo! MTV Raps"" ", 1988, (producer)
100g, Nada 89, 	Quarth , 1989, (VG)  (executive producer)
13, Wednesday, 	Wednesday 13's Weirdo a Go-Go , 2008, (V)  (producer)
1312, , 		Absolute Punishment: The Ultimate Death Experience Part 2 , 1998, (V)  (producer)
2 Chainz, , 	Most Expensivest Shit , 2014, (V)  (executive producer)
2000, T., 	King of Fighters: Maximum Impact , 2004, (VG)  (assistant producer) (as T-2000)
2amkinematography, , Inner Land , 2015, (co-producer)
2k, , 		The Art of the Game , 2014, (executive producer)
3 Doors Down, ," 	""Skin Wars: Naked Truth"" ", 2014, (executive producer)
, ," 		""Skin Wars: Naked Truth"" ", 2014, (executive producer)
, ," 		""Skin Wars: Naked Truth"" ", 2014, (executive producer)
, ," 		""Skin Wars: Naked Truth"" ", 2014, (executive producer)

, , 		Sweet Melody , ????, (executive producer) (as Thurston Hill III)
50 Cent, , 		50 Cent: The Massacre - Special Edition , 2005, (V)  (executive producer)
, , 		All Things Fall Apart , 2011, (producer)
, , 		Before I Self Destruct , 2009, (V)  (producer)
, , 		Caught in the Crossfire , 2010, (executive producer)
, , 		Freelancers , 2012, (producer)
, , 		Hot Rod: Only On... , 2011, (V)  (executive producer)
, , 		Live Bet , 2011, }  (producer)
, , 		Tapia , 2013, (executive producer)
, , 		The Game: Documentary , 2005, (V)  (executive producer)
, , 		Tomorrow, Today , ????, (TV)  (executive producer) (2016)
, ," 		""Dream School"" ", 2013, (executive producer) (as Curtis '50 Cent' Jackson)
, ," 		""Dream School"" ", 2013, (executive producer) (as Curtis '50 Cent' Jackson)
, ," 		""Dream School"" ", 2013, (executive producer) (as Curtis '50 Cent' Jackson)
, ," 		""Power"" ", 2014/I, (executive producer)
, ," 		""Power"" ", 2014/I, (executive producer)
, ," 		""Power"" ", 2014/I, (executive producer)
, ," 		""Power"" ", 2014/I, (executive producer)
